,category,name,address,latitude,longtitude
35,hospital,b'\xe5\xba\xb7\xe5\xaf\xa7\xe9\x86\xab\xe7\x99\x82\xe8\xb2\xa1\xe5\x9c\x98\xe6\xb3\x95\xe4\xba\xba\xe5\xba\xb7\xe5\xaf\xa7\xe9\x86\xab\xe9\x99\xa2',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe5\x85\xa7\xe6\xb9\x96\xe5\x8d\x80\xe6\x88\x90\xe5\x8a\x9f\xe8\xb7\xaf\xe4\xba\x94\xe6\xae\xb5420\xe5\xb7\xb726\xe8\x99\x9f',25.0758907,121.6089476
36,hospital,b'\xe4\xb8\x89\xe8\xbb\x8d\xe7\xb8\xbd\xe9\x86\xab\xe9\x99\xa2\xe9\x99\x84\xe8\xa8\xad\xe6\xb0\x91\xe7\x9c\xbe\xe8\xa8\xba\xe7\x99\x82\xe6\x9c\x8d\xe5\x8b\x99\xe8\x99\x95',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe5\x85\xa7\xe6\xb9\x96\xe5\x8d\x80\xe6\x88\x90\xe5\x8a\x9f\xe8\xb7\xaf\xe4\xba\x8c\xe6\xae\xb5325\xe8\x99\x9f',25.0717029,121.5900721
37,hospital,b'\xe4\xb8\x89\xe8\xbb\x8d\xe7\xb8\xbd\xe9\x86\xab\xe9\x99\xa2\xe9\x99\x84\xe8\xa8\xad\xe6\xb0\x91\xe7\x9c\xbe\xe8\xa8\xba\xe7\x99\x82\xe6\x9c\x8d\xe5\x8b\x99\xe8\x99\x95_1',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe4\xb8\xad\xe6\xad\xa3\xe5\x8d\x80\xe6\xb1\x80\xe5\xb7\x9e\xe8\xb7\xaf3\xe6\xae\xb540\xe8\x99\x9f',25.0163971,121.5297317
38,hospital,b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe7\xab\x8b\xe8\x90\xac\xe8\x8a\xb3\xe9\x86\xab\xe9\x99\xa2',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe6\x96\x87\xe5\xb1\xb1\xe5\x8d\x80\xe8\x88\x88\xe9\x9a\x86\xe8\xb7\xaf\xe4\xb8\x89\xe6\xae\xb5111\xe8\x99\x9f',24.999901,121.55814
39,hospital,b'\xe6\x99\xaf\xe7\xbe\x8e\xe9\x86\xab\xe9\x99\xa2',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe6\x96\x87\xe5\xb1\xb1\xe5\x8d\x80\xe7\xbe\x85\xe6\x96\xaf\xe7\xa6\x8f\xe8\xb7\xaf\xe5\x85\xad\xe6\xae\xb5280\xe8\x99\x9f',24.991198,121.5398813
40,college,b'\xe5\x9c\x8b\xe7\xab\x8b\xe6\x94\xbf\xe6\xb2\xbb\xe5\xa4\xa7\xe5\xad\xb8',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe6\x96\x87\xe5\xb1\xb1\xe5\x8d\x80\xe6\x8c\x87\xe5\x8d\x97\xe8\xb7\xaf2\xe6\xae\xb564\xe8\x99\x9f',24.9861384,121.5773585
41,college,b'\xe5\x9c\x8b\xe7\xab\x8b\xe8\x87\xba\xe7\x81\xa3\xe5\xa4\xa7\xe5\xad\xb8',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe5\xa4\xa7\xe5\xae\x89\xe5\x8d\x80\xe7\xbe\x85\xe6\x96\xaf\xe7\xa6\x8f\xe8\xb7\xaf4\xe6\xae\xb51\xe8\x99\x9f',25.0145185,121.53792
42,college,b'\xe5\x9c\x8b\xe7\xab\x8b\xe8\x87\xba\xe7\x81\xa3\xe5\xb8\xab\xe7\xaf\x84\xe5\xa4\xa7\xe5\xad\xb8',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe5\xa4\xa7\xe5\xae\x89\xe5\x8d\x80\xe5\x92\x8c\xe5\xb9\xb3\xe6\x9d\xb1\xe8\xb7\xaf1\xe6\xae\xb5162\xe8\x99\x9f',25.0259579,121.5275226
43,college,b'\xe5\x9c\x8b\xe7\xab\x8b\xe9\x99\xbd\xe6\x98\x8e\xe5\xa4\xa7\xe5\xad\xb8',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe5\x8c\x97\xe6\x8a\x95\xe5\x8d\x80\xe7\xab\x8b\xe8\xbe\xb2\xe8\xa1\x972\xe6\xae\xb5155\xe8\x99\x9f',25.1196404,121.5145022
44,college,b'\xe5\x9c\x8b\xe7\xab\x8b\xe8\x87\xba\xe5\x8c\x97\xe8\x97\x9d\xe8\xa1\x93\xe5\xa4\xa7\xe5\xad\xb8',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe5\x8c\x97\xe6\x8a\x95\xe5\x8d\x80\xe5\xad\xb8\xe5\x9c\x92\xe8\xb7\xaf1\xe8\x99\x9f',25.1335255,121.4713322
45,college,b'\xe5\x9c\x8b\xe7\xab\x8b\xe8\x87\xba\xe5\x8c\x97\xe6\x95\x99\xe8\x82\xb2\xe5\xa4\xa7\xe5\xad\xb8',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe5\x92\x8c\xe5\xb9\xb3\xe6\x9d\xb1\xe8\xb7\xaf2\xe6\xae\xb5134\xe8\x99\x9f',25.0222416,121.5441904
46,college,b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe7\xab\x8b\xe5\xa4\xa7\xe5\xad\xb8',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe4\xb8\xad\xe6\xad\xa3\xe5\x8d\x80\xe6\x84\x9b\xe5\x9c\x8b\xe8\xa5\xbf\xe8\xb7\xaf1\xe8\x99\x9f',25.0370831,121.5133345
47,college,b'\xe5\x9c\x8b\xe7\xab\x8b\xe8\x87\xba\xe7\x81\xa3\xe7\xa7\x91\xe6\x8a\x80\xe5\xa4\xa7\xe5\xad\xb8',b'\xe8\x87\xba\xe5\x8c\x97\xe5\xb8\x82\xe5\xa4\xa7\xe5\xae\x89\xe5\x8d\x80\xe5\x9f\xba\xe9\x9a\x86\xe8\xb7\xaf\xe5\x9b\x9b\xe6\xae\xb543\xe8\x99\x9f',25.0131401,121.5402157
