,result/result_lasso.csv,result/result_ridge.csv,result/result_rf.csv,result_sarima.csv,avg
y_sbi_120,0.10852333616663802,0.10862303161555627,0.10879801699928748,0.1645737269835795,0.10729847935837243
y_sbi_121,0.06116863565700852,0.06078742815907994,0.06065876269162149,0.10130962290827744,0.06019324460102611
y_sbi_122,0.0985988561417164,0.09961311363845056,0.09929236922102838,0.15679487878763987,0.09687430550872554
y_sbi_123,0.09098745888041483,0.09086159569162733,0.09174959149330385,0.13701570052043355,0.09003791119951528
y_sbi_125,0.1224097452731058,0.12188024785313685,0.12153754029143414,0.1735688976765587,0.1195877201715731
y_sbi_126,0.11707355816957007,0.11669628972368448,0.1175988293818353,0.1818278973485776,0.1153219211577464
y_sbi_127,0.10291946220213091,0.10284047772043348,0.09749723698264465,0.17419070270385117,0.0988448601239968
y_sbi_128,0.11566785683986754,0.11599918451851589,0.11607434907901783,0.179024177967,0.1134212879162036
y_sbi_129,0.08453439185249322,0.08349784074098437,0.08632346245365972,0.13281979521535592,0.08041429492314445
y_sbi_130,0.14001719558411901,0.13921229211784691,0.1389293476729347,0.20729800645407864,0.13805342572685123
y_sbi_131,0.08954883907581034,0.08917568260766019,0.09124096337958712,0.13333959922385738,0.08824180829996799
y_sbi_132,0.10482957252523506,0.10558059208828124,0.1081166980942147,0.16474905770576143,0.103010771350531
y_sbi_133,0.11755152029349918,0.11701226677291902,0.11732968881121646,0.18203408613233701,0.1151096531311031
y_sbi_134,0.12442169008374511,0.12514167301999815,0.12763852428322614,0.18449345467880468,0.1238327539650278
y_sbi_135,0.08421056026273875,0.08425690802904139,0.08619289579640792,0.1287481219808045,0.08369788936348972
y_sbi_136,0.08733336070891619,0.08704597146723901,0.08771270238557399,0.1324859492451176,0.08627434144233298
y_sbi_137,0.08058466127947377,0.08016047841208407,0.07993028202475913,0.13076483690529142,0.07905863087789343
y_sbi_138,0.14709046672307827,0.14748295466566236,0.1503528542610312,0.21396005231250365,0.1466178046131801
y_sbi_139,0.1321246092173978,0.13202575599179692,0.12956395697300338,0.17783553839429891,0.1292060218503228
y_sbi_140,0.11161283665731546,0.11097406456042898,0.11161544694588325,0.16941669296251094,0.11008398513393536
y_sbi_141,0.06921813879410048,0.06720030662558088,0.06863742534345865,0.1081050078431673,0.06774046454581642
y_sbi_142,0.06975672103652325,0.06979558807924127,0.0702775255948557,0.11150839401114701,0.06897314337199587
y_sbi_143,0.05045218729632763,0.05055867389817425,0.0516958057452194,0.07731676303517047,0.05006089221926235
y_sbi_144,0.0723685793268307,0.07203700698888743,0.07363173659837571,0.11415983085962118,0.0714911681959392
y_sbi_145,0.0939186014430787,0.09311105380782009,0.09672930130509953,0.1487006817295598,0.09295893248180247
y_sbi_146,0.1302606901233247,0.13013720248990396,0.13425439850694665,0.19190188443500283,0.1295261535369203
y_sbi_147,0.11517347145920712,0.11509709340603279,0.11519906732025527,0.1661802602167526,0.11358717975962707
y_sbi_148,0.056175469917812616,0.05691993174633623,0.056382594393671555,0.08581384697023083,0.05581125765944983
y_sbi_149,0.08498564024710656,0.08384605018691502,0.08702528885462071,0.14228768173229497,0.08197976126533653
y_sbi_150,0.10925319303596252,0.10949326697943763,0.10908110749807633,0.1709541433163088,0.10781034490702118
y_sbi_151,0.09142118866802196,0.092143345965395,0.0909694129359002,0.1486411570915035,0.09000400730220028
y_sbi_152,0.12591037039728714,0.12367788388162773,0.1248998459398792,0.17826748745222892,0.1222065568789538
y_sbi_154,0.09249555382099732,0.09267913289090865,0.09312806224993826,0.1449571753641648,0.09157906653807575
y_sbi_155,0.11068218179354775,0.11046643692678211,0.11543721841816942,0.1619868543376731,0.1106749100677141
y_sbi_156,0.09506523753373855,0.09515455712461428,0.09947008143021731,0.15192556561858062,0.09530836369192766
y_sbi_157,0.0638275441830731,0.06361504846590303,0.06614936477091053,0.10858709356027471,0.06323074409542917
y_sbi_158,0.0898304626651919,0.0899481645132686,0.09120211511932043,0.14849276243071566,0.08859765187503403
y_sbi_159,0.09644391217683468,0.09638113932031311,0.09857456076470378,0.15474399285920892,0.09576708975506237
y_sbi_161,0.06348866715359693,0.0632524159282232,0.06438731818191341,0.10349155884013042,0.0627698744805916
y_sbi_162,0.07292876244547743,0.07279672931886826,0.07540346173343061,0.12538641056585045,0.07236232910397597
y_sbi_163,0.057373589298801146,0.05767221855787494,0.0601264318379854,0.09875795892633965,0.057145044380218044
y_sbi_164,0.08763874623964675,0.08892699783566457,0.0902392070914843,0.12416404250774207,0.08716378154176789
y_sbi_165,0.059427496862482866,0.059961257232626276,0.06011461660019517,0.09369327425665147,0.05919342196097947
y_sbi_166,0.07942531273935789,0.07941833247913355,0.08009583491753297,0.1201390794092848,0.07833637462239836
y_sbi_167,0.08754214800619099,0.0886006560412093,0.09161154448229604,0.12917223140829784,0.08759206649416992
y_sbi_169,0.0911966413670413,0.09137308543903239,0.09168909805090682,0.14926302823702536,0.08879904076568851
y_sbi_170,0.06903720214898089,0.06879779855944088,0.07229718717783248,0.14087080260477347,0.06879231619137677
y_sbi_171,0.07384596440588148,0.07434871284371188,0.07419954607537592,0.11616067169934981,0.07300455630803288
y_sbi_172,0.1416730029926074,0.14390412625010723,0.14566732207094024,0.1947900502099771,0.14167634282408012
y_sbi_173,0.11014524266308938,0.11160627121146342,0.10943069274784091,0.16242569240631607,0.10875386511749395
y_sbi_175,0.11868588633804714,0.11883914539973733,0.12078027316556215,0.1750292009192895,0.1180214254253322
y_sbi_176,0.059569375088500305,0.05997950307776043,0.06262764670767558,0.1073108710725914,0.0589286099095318
y_sbi_177,0.07943147165971387,0.07939910741295549,0.08098697412906386,0.12936209552530217,0.07857660748710832
y_sbi_178,0.08946854354695619,0.08878031337013954,0.09225122321826537,0.1451741829610174,0.08807922580517354
y_sbi_179,0.07153779578140299,0.0708527316048976,0.07389700365203043,0.12534755282207025,0.07033908862121337
y_sbi_180,0.04530834518962616,0.04533321536689041,0.04607678802485191,0.0708339807251983,0.04522000320757226
y_sbi_181,0.09389009184238278,0.09447323966890159,0.09644966740650823,0.14475867705451478,0.09229892211013825
y_sbi_182,0.10084564950689703,0.10161765956423871,0.10398749223663466,0.15266861134942267,0.10053204059958022
y_sbi_183,0.13209319433781228,0.13079277265695288,0.1311332765597462,0.18761329622766207,0.12919111876565031
y_sbi_184,0.06384750121706713,0.06355527227780247,0.06509659637923396,0.10391027399791286,0.06329281734130204
y_sbi_186,0.0796748825829057,0.07930830851378616,0.08108720297396925,0.13414629653441143,0.07740983197326849
y_sbi_187,0.11126566837146606,0.11109603673582852,0.1121100700872385,0.17370859017997098,0.1102007900326721
y_sbi_188,0.05579119425816117,0.05566317899564789,0.05610131825077479,0.08910547315526339,0.0550363618709549
y_sbi_189,0.10679946150889409,0.10543590714747318,0.10409497859285625,0.15964429670916216,0.10296835059374759
y_sbi_191,0.04924302566590779,0.04957008756833268,0.05074923541328961,0.07788282242827699,0.04936970615064558
y_sbi_192,0.06593032030356,0.06601467181843142,0.06619772769078047,0.10374839953713712,0.06520205347213637
y_sbi_193,0.07344078372380886,0.07248391021720131,0.07183519177521915,0.12029256938048033,0.07140568055034927
y_sbi_194,0.07291081274660902,0.07310962998861775,0.07370961774920368,0.11635613934844934,0.07253667019111874
y_sbi_195,0.09630415229708678,0.0963252460633487,0.09493531566837288,0.160425227318047,0.09332165464906998
y_sbi_196,0.07212708314239019,0.07134013361932369,0.07225199974977355,0.11293915752627685,0.07112585471002252
y_sbi_197,0.11434437825979235,0.11493136962969774,0.11513697945980292,0.17212722595997004,0.11336643957031389
y_sbi_201,0.07489172695783544,0.07555916438540546,0.07542728217764917,0.11569870278038712,0.0743636182748744
y_sbi_202,0.08432820737245512,0.08514642072589658,0.08534053002867041,0.13288127583758913,0.08421528566346925
y_sbi_203,0.08307420634715436,0.08251991787997556,0.08473628449637785,0.1336120556574812,0.08187148662088925
y_sbi_204,0.0901070830010284,0.08945766951081631,0.09014737344604394,0.1396632827590354,0.0883445531391782
y_sbi_205,0.09486102768944416,0.0949678822318939,0.09282139415175543,0.15005319735382963,0.09256812092959661
y_sbi_206,0.07347398225389884,0.07372977777319505,0.07300529090470276,0.11092024774522749,0.07233951213787904
y_sbi_207,0.04611379869677849,0.0459804652436693,0.04636059631057653,0.07428014625295837,0.045853207422662856
y_sbi_208,0.06764027130261022,0.06708575506224239,0.06777830222101762,0.11606762613474389,0.06601255799278272
y_sbi_209,0.07124981495843141,0.07122835744116915,0.0730310019149469,0.11263885907902374,0.07043834217196016
y_sbi_210,0.10273658312809299,0.10225263882770845,0.10422499563434527,0.15430235890970706,0.10038425408877269
y_sbi_211,0.05770073023638036,0.057377181992882845,0.05962166075505759,0.091593081126269,0.05754507333137189
y_sbi_212,0.0679739043071456,0.06788725494367008,0.06932974314107215,0.10856460552152353,0.06778490985172782
y_sbi_213,0.09895058640346326,0.09925942749911996,0.10290128612635623,0.15780826699732797,0.09930462450250016
y_sbi_214,0.04943554689714622,0.04954569073589364,0.05111553609939424,0.07898593600995506,0.04918753289065611
y_sbi_215,0.10961158843847467,0.1099281174867679,0.11128046122871368,0.16529011930450555,0.10873226194385942
y_sbi_216,0.06863265912722044,0.06879567786427687,0.06968276147616599,0.10953132336029046,0.06760089108125288
y_sbi_217,0.10878208907286172,0.10890527904483882,0.10695827460278562,0.15631170598232474,0.10590117599065481
y_sbi_218,0.10072775191375552,0.1008670080481791,0.10328744008388484,0.1590897740493267,0.09987547929549083
y_sbi_219,0.10746285560550434,0.1078846864616905,0.10785268563989635,0.16587306227898924,0.10606138538452299
y_sbi_220,0.1181744014889175,0.11777984119581249,0.12064311252411236,0.17930116148992253,0.11769477344000141
y_sbi_221,0.14491456796985472,0.14461249404729326,0.14143994076781058,0.20759264107619918,0.14058017099802617
y_sbi_222,0.10947478545554244,0.10964766968974003,0.10956276288089682,0.16184210819942163,0.10822914392764457
y_sbi_223,0.12766666056321838,0.12654743488704567,0.1254606892493955,0.18295937657292022,0.1246488006437028
y_sbi_224,0.0786019847628395,0.07840718129322936,0.07984925602612011,0.12205166810464611,0.07750778890862477
y_sbi_225,0.09977156023539072,0.09983152467603831,0.10084233811107055,0.15072071599240766,0.09850619426251753
y_sbi_226,0.09371103180403005,0.09416467295673119,0.09676490205027934,0.15551253767617912,0.09332080496616622
y_sbi_227,0.06841420847739152,0.06829199141558825,0.06924647931275234,0.11003896607519306,0.06772019214748537
y_sbi_228,0.07537318309865042,0.07404609161463617,0.07430779654345128,0.11860674757565134,0.07378606010871247
y_sbi_230,0.09024167584502343,0.09041673425576761,0.09119009378157189,0.14192968196209352,0.08840123969843619
y_sbi_231,0.10303814738925914,0.10344227182677665,0.10274232431385495,0.1617368342580488,0.10129696325678425
y_sbi_232,0.08104629225160166,0.08075002751775193,0.08276413699353613,0.12941595277246476,0.08050591927760342
y_sbi_233,0.043968132523429855,0.04377421342730105,0.044268645780748066,0.06990637008514028,0.04369560701021771
y_sbi_234,0.08788208029895327,0.08874810479873203,0.09239389113037877,0.13807919927656911,0.0881796798457308
y_sbi_235,0.11447358834978141,0.11461617013264962,0.11715967729078561,0.1682889400433171,0.11371498236535099
y_sbi_236,0.10153087671888614,0.10084646429008239,0.10174939523101587,0.16241422607518877,0.09930783387775047
y_sbi_238,0.10823237218868687,0.10788864266250181,0.10717135494630628,0.15827694266717826,0.1053602264471275
y_sbi_241,0.11406726963772779,0.11537381940892494,0.11465539776015501,0.16958896103377188,0.11225014783502944
y_sbi_242,0.10001845445162658,0.10040908085019318,0.1002253105856717,0.1475580564110043,0.09932789584759931
y_sbi_243,0.08122561584884451,0.08085832701055805,0.08280320579973238,0.12442420988618388,0.08019345451668691
y_sbi_244,0.09953115052239773,0.09969866627427101,0.09929465931178157,0.15650496620428356,0.09765027932783252
y_sbi_245,0.123161729737991,0.1230593783927143,0.12753443429653644,0.17614347024358745,0.12201951438693039
y_sbi_246,0.04562010516719041,0.045525038211121804,0.04706666307375451,0.07398349907816945,0.04529133886444352
y_sbi_247,0.065294033473063,0.0663311426714239,0.06587267205303832,0.10590869116424965,0.06476705032633708
y_sbi_248,0.11360182177105572,0.11324538384444784,0.11681899862365804,0.164544617500584,0.11090409853937032
y_sbi_249,0.1387363538314879,0.13940615199958403,0.14359243476537098,0.2034455702622437,0.13927002695049476
y_sbi_250,0.0914516812771379,0.091947329484867,0.09290237307785991,0.148574140105901,0.0908953673048108
y_sbi_251,0.11306770504901263,0.11461404417264903,0.11263978731669955,0.1595142113481234,0.11077966609842659
y_sbi_252,0.11111380712258549,0.11121190189156893,0.11506575611081359,0.16709813372381396,0.11060024408588578
y_sbi_253,0.10790528537185817,0.10781636202714201,0.11004947684266604,0.16833533959790087,0.1068517357217851
y_sbi_254,0.07019111390763566,0.07067608995261307,0.07113266715999196,0.11845323996916496,0.06864921326507743
y_sbi_255,0.12446019505468904,0.12425010457457347,0.12624013737935963,0.188039998729885,0.12381450906761168
y_sbi_256,0.06805413495146162,0.06800978720101654,0.06960289827883341,0.11022434416957509,0.0675495429868349
y_sbi_257,0.09978314231867713,0.09905954885707148,0.09950219351884215,0.15551919656809682,0.09733641358706058
y_sbi_258,0.09769547449472224,0.09800574186214822,0.0985356025577288,0.1635976150106821,0.09642536582016582
y_sbi_259,0.11723126762942654,0.11803463472780204,0.11749514177803147,0.1741546026569435,0.11638494765790086
y_sbi_260,0.059848234774222867,0.059780214111392484,0.06118733660589239,0.09605732221635312,0.059593260516277696
y_sbi_261,0.09376485487559148,0.09280376716897881,0.09415839714573183,0.15348648469952753,0.09099489201158008
y_sbi_262,0.09350814347901482,0.09351518157116835,0.09359237943950298,0.1421056668911793,0.09204030459350207
y_sbi_263,0.10510270317486382,0.10468836196175052,0.10730113935767766,0.15942045743965808,0.10439616898094066
y_sbi_265,0.05501182960163923,0.055274873463219645,0.05711415560403752,0.08802213254852832,0.055055872465870896
y_sbi_266,0.10799419219230154,0.10814836701540788,0.11035965451092684,0.16011258232362446,0.10645048802892661
y_sbi_267,0.07567230624684712,0.07544631302728182,0.07601496787579488,0.11842391695688463,0.07501496645288612
y_sbi_268,0.09295150891489633,0.09301401276066175,0.09452514356152338,0.14724682942064865,0.09190816624204243
y_sbi_269,0.06116299021457932,0.06111323350089042,0.06134825403872928,0.09652127676655066,0.06046319017819334
y_sbi_270,0.12326051347320922,0.12267371648647156,0.1214248008388397,0.1794985937998918,0.12015297475174652
y_sbi_271,0.11231323418924534,0.1129853200069384,0.11152809435498046,0.17104193524439656,0.11076399585867638
y_sbi_272,0.0811727987787821,0.08153614639214424,0.08234632835223926,0.12555357516384302,0.0803632368581405
y_sbi_273,0.11018420926844734,0.10864583642463062,0.10706911882134781,0.1629776205396296,0.10636386479637808
y_sbi_274,0.0877926079308106,0.08770443702909105,0.08752498398817452,0.1371716273125818,0.08632910022163666
y_sbi_275,0.092866296782549,0.09308813778256352,0.09476502000357297,0.14662051362853062,0.09223488236449402
y_sbi_276,0.09775855018326164,0.09842313407260987,0.09943431781460686,0.1558275335871068,0.09679199489901846
y_sbi_277,0.11530048213534846,0.11513662524358761,0.11577663515294231,0.1662672175898694,0.11400801609275524
y_sbi_278,0.07433802237480473,0.0741503835545029,0.07488919180172567,0.12898549669703932,0.07300197209054886
y_sbi_279,0.11642400086667147,0.1158614645307323,0.11959031906825583,0.1815162660533688,0.11486964128065531
y_sbi_280,0.12948210488618986,0.12621987254116845,0.12669698730498596,0.18417996325328975,0.124557491788859
y_sbi_281,0.0892521218168098,0.08946025215958114,0.08926120386211192,0.1381387663925496,0.08859073622321455
y_sbi_282,0.12531010516142962,0.12648108021923654,0.1276867588153462,0.1890623844987931,0.12445826506065981
y_sbi_283,0.05907648336370684,0.05926303418250021,0.05939759615545405,0.09369808083183308,0.05851791288601213
y_sbi_284,0.06576636625463834,0.06581861406098365,0.06815717139449039,0.1024648053251009,0.06589940447366657
