sno,ha_rmse,ma_rmse_12,ma_rmse_3,ma_rmse_6,sarima,Lasso ,Ridge ,Random Forest ,Adaboost ,XGBoost,tot
120.0,19.565217391304348,17.391304347826086,15.217391304347828,17.391304347826086,17.391304347826086,10.869565217391305,10.869565217391305,10.869565217391305,10.869565217391305,10.869565217391305,46
121.0,18.181818181818183,15.151515151515152,9.090909090909092,12.121212121212121,10.606060606060606,6.0606060606060606,6.0606060606060606,6.0606060606060606,6.0606060606060606,6.0606060606060606,66
122.0,20.0,20.0,14.000000000000002,18.0,16.0,10.0,10.0,10.0,10.0,10.0,50
123.0,15.909090909090908,13.636363636363635,11.363636363636363,13.636363636363635,13.636363636363635,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,44
124.0,27.77777777777778,16.666666666666664,8.333333333333332,13.88888888888889,,5.555555555555555,5.555555555555555,8.333333333333332,5.555555555555555,8.333333333333332,36
125.0,20.0,20.0,16.666666666666664,16.666666666666664,16.666666666666664,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,30
126.0,20.0,20.0,16.666666666666664,16.666666666666664,16.666666666666664,13.333333333333334,10.0,10.0,13.333333333333334,13.333333333333334,30
127.0,20.0,22.5,17.5,20.0,17.5,10.0,10.0,10.0,10.0,10.0,40
128.0,25.0,27.77777777777778,16.666666666666664,22.22222222222222,16.666666666666664,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,36
129.0,18.0,18.0,12.0,14.000000000000002,14.000000000000002,8.0,8.0,8.0,8.0,8.0,50
130.0,23.076923076923077,23.076923076923077,19.230769230769234,19.230769230769234,19.230769230769234,15.384615384615385,15.384615384615385,15.384615384615385,15.384615384615385,15.384615384615385,26
131.0,19.230769230769234,19.230769230769234,11.538461538461538,15.384615384615385,13.461538461538462,9.615384615384617,9.615384615384617,9.615384615384617,9.615384615384617,9.615384615384617,52
132.0,25.0,20.454545454545457,17.045454545454543,20.454545454545457,15.909090909090908,10.227272727272728,10.227272727272728,10.227272727272728,10.227272727272728,11.363636363636363,88
133.0,22.5,25.0,17.5,22.5,17.5,12.5,12.5,12.5,12.5,12.5,40
134.0,20.3125,21.875,17.1875,18.75,18.75,12.5,12.5,12.5,12.5,12.5,64
135.0,16.666666666666664,14.814814814814813,11.11111111111111,12.962962962962962,12.962962962962962,9.25925925925926,9.25925925925926,9.25925925925926,9.25925925925926,9.25925925925926,54
136.0,16.666666666666664,16.666666666666664,10.0,13.333333333333334,13.333333333333334,10.0,10.0,10.0,10.0,10.0,30
137.0,19.565217391304348,19.565217391304348,13.043478260869565,15.217391304347828,8272063.043478261,8.695652173913043,8.695652173913043,8.695652173913043,8.695652173913043,8.695652173913043,46
138.0,23.333333333333332,23.333333333333332,20.0,23.333333333333332,20.0,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,16.666666666666664,30
139.0,18.421052631578945,18.421052631578945,15.789473684210526,15.789473684210526,18.421052631578945,13.157894736842104,13.157894736842104,13.157894736842104,13.157894736842104,13.157894736842104,38
140.0,19.565217391304348,19.565217391304348,15.217391304347828,17.391304347826086,17.391304347826086,10.869565217391305,10.869565217391305,10.869565217391305,10.869565217391305,10.869565217391305,46
141.0,16.666666666666664,13.88888888888889,8.333333333333332,11.11111111111111,11.11111111111111,5.555555555555555,5.555555555555555,5.555555555555555,5.555555555555555,8.333333333333332,36
