,model,name,sno,results,best_param,RMSE,time
2,Random Forest ,All_Feature,14,"[4.185282928263385, 4.113391762485351, 4.108956357610606]","{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 70}",4.102423266,117.4456251
3,Adaboost ,All_Feature,14,"[4.427882267486425, 4.133492303898163, 4.133492303898163]","{'learning_rate': 0.001, 'loss': 'square', 'n_estimators': 20}",4.217562476,43.40789008
4,XGBoost,All_Feature,14,"[4.797101936555254, 4.459954077302952, 4.444067210745431]","{'booster': 'gblinear', 'eta': 8e-20, 'max_depth': 5, 'min_child_weight': 4, 'n_estimators': 175}",4.378099898,28.39720726
0,Lasso ,All_Feature,16,"[4.244319801958124, 4.243154833962055, 4.703273383079843]",{'alpha': 0.009000000000000001},3.8461695,1.692147493
1,Ridge ,All_Feature,16,"[4.185893693670353, 4.182858921676272, 4.182713039434304]",{'alpha': 19.0},3.734787975,10.09284353
2,Random Forest ,All_Feature,16,"[4.2679518028987555, 4.219161292726506, 4.219161292726506]","{'max_depth': 50, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 180}",3.823935201,142.3021924
3,Adaboost ,All_Feature,16,"[4.8800193123157305, 4.1862562055488715, 4.185792043707161]","{'learning_rate': 0.0006000000000000001, 'loss': 'square', 'n_estimators': 50}",3.760613434,55.38321948
4,XGBoost,All_Feature,16,"[4.538753256294901, 4.619347495899145, 4.6071749117583325]","{'booster': 'gblinear', 'eta': 8e-15, 'max_depth': 20, 'min_child_weight': 4, 'n_estimators': 190}",4.00149882,28.7506001
0,Lasso ,All_Feature,17,"[4.027389054770624, 4.027550981345532, 4.222070006978787]",{'alpha': 0.0011000000000000003},3.887774763,1.706067801
1,Ridge ,All_Feature,17,"[4.030221869359793, 4.0359290464549735, 4.0359290464549735]",{'alpha': 9.9},3.852785545,10.1657269
2,Random Forest ,All_Feature,17,"[4.064091477740314, 4.003461403700343, 4.003461403700343]","{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 80}",3.719983922,127.1877351
3,Adaboost ,All_Feature,17,"[5.291566404689386, 4.04122678146149, 4.041231997173584]","{'learning_rate': 3.0000000000000004e-08, 'loss': 'square', 'n_estimators': 100}",3.873141209,73.21458554
4,XGBoost,All_Feature,17,"[4.254210882123834, 4.2322329497914515, 4.225056161111513]","{'booster': 'gblinear', 'eta': 2e-18, 'max_depth': 10, 'min_child_weight': 4, 'n_estimators': 195}",3.948261758,28.32676435
0,Lasso ,All_Feature,18,"[3.50789663762378, 3.5091951083428983, 3.552715226764572]",{'alpha': 0.051000000000000004},3.506859526,1.923873186
1,Ridge ,All_Feature,18,"[3.4044128628432566, 3.398144001737996, 3.4186781748467396]",{'alpha': 30.0},3.481552404,10.33108878
2,Random Forest ,All_Feature,18,"[3.591217252169283, 3.5104571291616646, 3.5104571291616646]","{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 80}",3.439995575,124.6453645
3,Adaboost ,All_Feature,18,"[6.349606754573723, 3.419173717874904, 3.4186209141998227]","{'learning_rate': 0.0001, 'loss': 'square', 'n_estimators': 155}",3.521696454,89.45587277
4,XGBoost,All_Feature,18,"[3.925159695639425, 3.4832548507112464, 3.4843935756268434]","{'booster': 'gblinear', 'eta': 4e-17, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 165}",3.447532547,28.83241081
0,Lasso ,All_Feature,19,"[3.6520696665049437, 3.6669512963551107, 3.9017084858443893]",{'alpha': 0.019000000000000003},3.629182666,1.726855755
1,Ridge ,All_Feature,19,"[3.6771092190296177, 3.6721727403459283, 3.690233286269267]",{'alpha': 7.0},3.631903568,10.11012173
2,Random Forest ,All_Feature,19,"[3.6431390282861638, 3.603879867436662, 3.605891639018116]","{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 11, 'n_estimators': 120}",3.688799486,130.7211525
3,Adaboost ,All_Feature,19,"[4.206939748789242, 3.70459094099313, 3.704473117254745]","{'learning_rate': 0.01, 'loss': 'square', 'n_estimators': 45}",3.648026416,51.00511646
