,model,name,sno,results,best_param,RMSE,time
4,XGBoost,All_Feature,73,"[2.724151899768017, 2.8426861192082122, 2.7977928377858055]","{'booster': 'gblinear', 'eta': 5.999999999999999e-20, 'max_depth': 10, 'min_child_weight': 2, 'n_estimators': 160}",2.714613367478386,27.896677255630493
0,Lasso ,All_Feature,74,"[3.8395115102109667, 3.8507923333139664, 3.863392340910614]",{'alpha': 0.0028000000000000004},4.00855948308185,1.7353227138519287
1,Ridge ,All_Feature,74,"[3.724444245473343, 3.7288708174048244, 3.7392844520646524]",{'alpha': 17.0},3.9178577676804163,10.397202253341675
2,Random Forest ,All_Feature,74,"[3.726841888980281, 3.678307209100349, 3.67491920318842]","{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 195}",4.018978110033973,150.53066611289978
3,Adaboost ,All_Feature,74,"[4.54281224098816, 3.7490455819181046, 3.751170297921659]","{'learning_rate': 0.0001, 'loss': 'square', 'n_estimators': 110}",3.918094970668471,79.95321869850159
4,XGBoost,All_Feature,74,"[3.9727879564696913, 3.983853724545128, 3.9541116292703657]","{'booster': 'gblinear', 'eta': 9.000000000000001e-15, 'max_depth': 5, 'min_child_weight': 2, 'n_estimators': 195}",4.221415368245419,28.820947647094727
0,Lasso ,All_Feature,75,"[3.8452877804808647, 3.852389037132902, 3.8718438586501382]",{'alpha': 0.004200000000000001},3.720878140119783,1.8121967315673828
1,Ridge ,All_Feature,75,"[3.892280670853277, 3.9123873020609885, 3.9123873020609885]",{'alpha': 9.9},3.748405616673522,10.490914344787598
2,Random Forest ,All_Feature,75,"[3.836557958909589, 3.808622246039479, 3.816089951619361]","{'max_depth': 20, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 100}",3.7322469056756638,126.861732006073
3,Adaboost ,All_Feature,75,"[4.601074134138969, 3.9161377474676593, 3.914412374906613]","{'learning_rate': 2e-06, 'loss': 'square', 'n_estimators': 85}",3.75774279011146,65.67652153968811
4,XGBoost,All_Feature,75,"[4.100484028851284, 3.9653702259564243, 3.9721319136141937]","{'booster': 'gblinear', 'eta': 6.999999999999999e-20, 'max_depth': 10, 'min_child_weight': 2, 'n_estimators': 165}",3.823432220039549,28.298009157180786
0,Lasso ,All_Feature,76,"[3.3694344423563765, 3.368593780690977, 3.663329572011324]",{'alpha': 0.004},3.3526256844257953,1.7931673526763916
1,Ridge ,All_Feature,76,"[3.324945521894513, 3.3249276729012602, 3.324946693450009]",{'alpha': 0.99},3.3043666065961768,10.411134004592896
2,Random Forest ,All_Feature,76,"[3.4238287532673337, 3.3879344159552933, 3.3892344391819327]","{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 9, 'n_estimators': 175}",3.336503722758132,142.17497777938843
3,Adaboost ,All_Feature,76,"[4.04579644253273, 3.3179274549572004, 3.3210302567643484]","{'learning_rate': 0.001, 'loss': 'square', 'n_estimators': 50}",3.309077963897571,52.79315114021301
4,XGBoost,All_Feature,76,"[3.5926182534162514, 3.7126793983769186, 3.6835410124717227]","{'booster': 'gblinear', 'eta': 5e-20, 'max_depth': 20, 'min_child_weight': 4, 'n_estimators': 195}",3.5788042626038172,28.499773502349854
0,Lasso ,All_Feature,77,"[3.338339440646198, 3.3550354737408976, 3.4745235546728184]",{'alpha': 0.032},3.269219256991653,1.8659722805023193
1,Ridge ,All_Feature,77,"[3.3632549793317894, 3.365625479035321, 3.3717614238779077]",{'alpha': 20.0},3.243991617313718,10.50686764717102
2,Random Forest ,All_Feature,77,"[3.446543724555359, 3.3920214987029644, 3.3906729101717255]","{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 165}",3.2381840199187883,130.16007351875305
3,Adaboost ,All_Feature,77,"[4.177061783278158, 3.369862903755978, 3.369862903755978]","{'learning_rate': 0.001, 'loss': 'square', 'n_estimators': 80}",3.25625742941023,67.38784742355347
4,XGBoost,All_Feature,77,"[3.7845220835415523, 3.4528528252410124, 3.450837946790286]","{'booster': 'gblinear', 'eta': 9e-16, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 195}",3.3780197204853963,28.87676239013672
0,Lasso ,All_Feature,78,"[6.871038378464898, 6.871038378464898, 7.134608279828325]",{'alpha': 9.999999999999999e-05},6.55577641597657,1.8400399684906006
1,Ridge ,All_Feature,78,"[6.988041668346156, 6.988041668094996, 6.974070870705856]",{'alpha': 1e-09},6.61527541758904,11.027480125427246
2,Random Forest ,All_Feature,78,"[6.721696633625538, 6.686238448968597, 6.676439155491921]","{'max_depth': 20, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 165}",6.253831787209205,142.1680827140808
3,Adaboost ,All_Feature,78,"[7.893868376048564, 6.982923046113245, 6.982923046113245]","{'learning_rate': 1e-08, 'loss': 'square', 'n_estimators': 20}",6.609941189258801,42.874340772628784
4,XGBoost,All_Feature,78,"[7.30272498558833, 7.274865803536124, 7.280569470739389]","{'booster': 'gblinear', 'eta': 1e-19, 'max_depth': 10, 'min_child_weight': 2, 'n_estimators': 100}",6.683936555679625,27.07538104057312
0,Lasso ,All_Feature,79,"[4.171146217113542, 4.171146217113542, 4.237996356602822]",{'alpha': 0.0010000000000000002},4.0541679662368,1.783196210861206
1,Ridge ,All_Feature,79,"[4.055216343661718, 4.055216343654495, 4.054654621436448]",{'alpha': 1e-09},3.9781533325037914,10.57477593421936
2,Random Forest ,All_Feature,79,"[4.307604410456219, 4.237139481764769, 4.236480416679118]","{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 11, 'n_estimators': 180}",4.142779832485912,68.70607662200928
3,Adaboost ,All_Feature,79,"[5.074038302594401, 4.06024316957372, 4.06024316957372]","{'learning_rate': 0.001, 'loss': 'square', 'n_estimators': 180}",3.9864613503793533,103.06510949134827
4,XGBoost,All_Feature,79,"[4.897149340435471, 4.265184267700498, 4.2327880403890505]","{'booster': 'gblinear', 'eta': 5e-20, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 195}",4.125054540654365,28.876837968826294
0,Lasso ,All_Feature,80,"[4.273308059851991, 4.2745445894409135, 4.2745445894409135]",{'alpha': 0.9},4.069311308959099,1.7612836360931396
1,Ridge ,All_Feature,80,"[4.165671366053326, 4.170769106928978, 4.199296521102501]",{'alpha': 12.0},3.9144184281548244,10.480943441390991
2,Random Forest ,All_Feature,80,"[4.157195146317574, 4.1868958703324015, 4.1868740161110765]","{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 11, 'n_estimators': 80}",4.0116427648752655,119.99640488624573
3,Adaboost ,All_Feature,80,"[5.187604830914757, 4.203341463811745, 4.201721816922778]","{'learning_rate': 1e-06, 'loss': 'square', 'n_estimators': 195}",3.9473047913051795,104.16456317901611
4,XGBoost,All_Feature,80,"[4.506273130796235, 4.212006683745469, 4.210439272341465]","{'booster': 'gblinear', 'eta': 2.9999999999999997e-20, 'max_depth': 50, 'min_child_weight': 2, 'n_estimators': 135}",4.0031000598644555,26.995800256729126
