,parameters,aic
288,"(3, 0, 1, 0, 0, 0)",39504.40984615002
289,"(4, 0, 1, 0, 0, 0)",39505.48002246294
290,"(2, 1, 1, 1, 1, 0)",39507.50705473379
291,"(3, 1, 1, 1, 1, 0)",39508.71409108247
292,"(2, 1, 0, 1, 1, 0)",39509.537452393364
293,"(3, 1, 0, 1, 1, 0)",39510.26778760181
294,"(4, 0, 0, 0, 0, 0)",39799.91355798736
295,"(3, 0, 0, 0, 0, 0)",39809.48358044396
296,"(2, 0, 2, 0, 0, 0)",39816.61103036268
297,"(3, 0, 2, 0, 0, 0)",39819.34152837827
298,"(2, 0, 1, 0, 0, 0)",39820.93753637716
299,"(4, 1, 0, 0, 0, 0)",39841.608545991825
300,"(2, 0, 0, 0, 0, 0)",39865.00667202048
301,"(3, 1, 0, 0, 0, 0)",39884.00676437948
302,"(2, 1, 0, 0, 0, 0)",39905.85515840073
303,"(4, 0, 2, 0, 1, 0)",40126.89132483114
304,"(4, 1, 2, 0, 1, 0)",40180.62187912624
305,"(3, 1, 2, 0, 1, 0)",40181.46829345082
306,"(2, 0, 2, 0, 1, 0)",40190.737757902985
307,"(3, 0, 2, 0, 1, 0)",40190.819612021485
308,"(4, 1, 1, 0, 1, 0)",40247.0709414783
309,"(4, 0, 1, 0, 1, 0)",40247.42257474079
310,"(4, 0, 0, 0, 1, 0)",40248.25475622762
311,"(2, 1, 2, 0, 1, 0)",40254.54078286226
312,"(3, 0, 1, 0, 1, 0)",40255.156517784926
313,"(2, 0, 1, 0, 1, 0)",40255.85211818526
314,"(3, 0, 0, 0, 1, 0)",40261.56384384629
315,"(2, 1, 1, 0, 1, 0)",40267.34898104391
316,"(2, 0, 0, 0, 1, 0)",40268.55655662313
317,"(4, 1, 0, 0, 1, 0)",40536.08280346841
318,"(2, 1, 0, 0, 1, 0)",40543.851798763775
319,"(3, 1, 0, 0, 1, 0)",40545.67531322068
320,"(3, 1, 1, 0, 1, 0)",40547.84156735964
